ENS,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
DC1,-435349.064377317,148545.742370179,-140622.79103011,56307.5578742159,-46006.7540104622,134669.434499237,-9123.04251333552,-4098.61451849626,-295.881036349374,-5687.48533387541,1933.40195067614,-2.09289641832909e-08
DC2,-414734.652890725,-225984.452711871,-51468.4628655853,46839.3513060549,16174.8409315304,-80800.267536537,-56176.7832668741,-8154.06038371854,-7995.91202877369,19103.2488118676,6734.73291448543,3.97451058219492e-09
DC3,536375.415302605,4748.90798145757,-24002.346538214,44250.124568947,-8545.96851718003,35664.0986020808,-12527.3094823331,-55271.8862522924,-41296.7032420264,10975.8120984811,1944.11874327034,1.38988933285743e-09
DC4,429188.761835159,-125105.957123575,-84013.2132763559,98295.1164556457,-59613.8312699475,-4482.35112333317,-14853.7682177315,37225.1180008613,42420.8032573543,-7540.11608394678,-4260.1298518909,1.15598556581545e-09
DC5,146649.281722932,83003.4904897883,-177192.89192644,-121033.828311608,113444.818417059,-4437.97903841977,12364.5486402767,439.639507624827,27214.9098053956,12149.0058017711,9874.72365579449,1.10433740469862e-09
DC6,-74051.2084425797,-212984.306463582,26840.4226317847,33938.4266900987,116373.600608993,45370.1740078955,60409.342775299,20856.9221973632,-24161.3716354454,-12447.267548901,-10442.1466768048,1.71291869555633e-09
DC7,-108953.972536935,35311.3424983467,-65328.130821134,-68961.5049290654,-98494.9323272896,-63661.0684985327,46606.4451418202,-7614.69214761528,-5838.47673350546,10904.0381597043,-27292.427483248,1.87528450605015e-09
DC8,-72198.5861848777,9650.97292020096,-3770.72065442042,-10855.2392735989,-39984.4908163081,-82912.0001104873,31946.491249045,-31604.9648951235,206.096419462888,-35417.128649287,19359.3353220619,1.97406443313208e-09
DC9,10203.8293284952,-44863.1742515012,121259.160773588,-117662.130779429,14748.9680510113,39683.2547793847,-77019.7940564168,-12867.3802218628,9649.78572171186,-18997.9693967925,-14361.7228273313,1.53740486766546e-09
DC10,-11974.6761146802,-100905.835010363,187538.72614437,-62947.984371227,-77070.4360508203,63783.416368286,34453.8523160828,14205.5358330763,11018.9816980885,19749.6461060575,18038.7742545419,1.96224870374758e-09
DC11,-83923.8538886576,220151.446650918,176062.685339732,108126.359548924,69424.972036115,-36186.1322102658,10240.8094383783,-21394.2276509008,30785.9511313823,8692.01103712106,-6798.96641750469,2.87015367329553e-09
DC12,78768.7262465837,208431.822650001,34697.5622227886,-6296.24877895826,-450.787052699617,-46690.5797393085,-26320.7920242104,68278.6105310829,-41708.1833572951,-1483.79500220028,5270.30641594938,1.45169770781749e-09
